id,address,capacity,latitude,longitude,parking_type
opendata_ruhver_parkseiten_line.230,Ansbacher Str.,14.0,48.160488714221685,11.569926384930987,Parkplatz
opendata_ruhver_parkseiten_line.231,Ansbacher Str.,16.0,48.160466591841825,11.569992695279762,Parkplatz
opendata_ruhver_parkseiten_line.232,Jakob-Klar-Str.,19.0,48.16011848520519,11.571395698494118,Parkplatz
opendata_ruhver_parkseiten_line.233,Jakob-Klar-Str.,17.0,48.16009767247131,11.5715004502107,Parkplatz
opendata_ruhver_parkseiten_line.234,Jakob-Klar-Str.,18.0,48.15913124600521,11.570749422237144,Parkplatz
opendata_ruhver_parkseiten_line.235,Jakob-Klar-Str.,18.0,48.15910824450065,11.570853658206564,Parkplatz
opendata_ruhver_parkseiten_line.236,Bauerstr.,8.0,48.16036491216369,11.56846264899768,Parkplatz
opendata_ruhver_parkseiten_line.237,Bauerstr.,7.0,48.16017816855336,11.569411305139456,Parkplatz
opendata_ruhver_parkseiten_line.238,Bauerstr.,18.0,48.15985949348928,11.570424764098844,Parkplatz
opendata_ruhver_parkseiten_line.239,Bauerstr.,16.0,48.15947907920812,11.571809835777104,Parkplatz
opendata_ruhver_parkseiten_line.240,Bauerstr.,26.0,48.15937026463858,11.571791808214694,Parkplatz
opendata_ruhver_parkseiten_line.241,Bauerstr.,16.0,48.159021944824566,11.573006915972593,Parkplatz
opendata_ruhver_parkseiten_line.242,Bauerstr.,14.0,48.15881092255061,11.574175223816024,Parkplatz
opendata_ruhver_parkseiten_line.243,Tengstr.,27.0,48.156259279719706,11.568370252977772,Parkplatz
opendata_ruhver_parkseiten_line.244,Tengstr.,20.0,48.1555227287529,11.568264749516583,Parkplatz
opendata_ruhver_parkseiten_line.245,Bauerstr.,12.0,48.16064369546632,11.56763910637514,Parkplatz
opendata_ruhver_parkseiten_line.246,Bauerstr.,12.0,48.16002546701517,11.56951671817859,Parkplatz
opendata_ruhver_parkseiten_line.247,Bauerstr.,10.0,48.159114017514604,11.573092706753597,Parkplatz
opendata_ruhver_parkseiten_line.248,Elisabethstr.,7.0,48.15855220088195,11.570146114316405,Parkplatz
